0	 
102	<nul>
1	ម
2	ា
3	ន
4,5	្ទ
6	ក
7	ប
8	់
9	ខ
10	ង
11	ស
4,12	្ដ
13	ំ
14	៉
15	អ
4,16	្យ
17	ឧ
4,7	្ប
18	ត
4,19	្ថ
20	ច
21	ួ
22	ៈ
23	7
24	3
25	,
26	0
27	៛
28	ផ
29	ៀ
12	ដ
30	ោ
16	យ
31	គ
32	ុ
33	ណ
5	ទ
4,34	្វ
35	េ
36	ភ
37	ព
38	រ
39	ី
4,6	្ក
4,38	្រ
40	ះ
41	៩
42	៨
43	-
4,15	្អ
44	ូ
19	ថ
4,10	្ង
4,3	្ន
45	័
46	ើ
47	ឯ
48	ិ
49	ល
50	៊
34	វ
4,51	្ជ
52	។
53	ែ
54	៍
55	ឡ
4,9	្ខ
4,56	្ធ
57	១
4,18	្ត
58	ហ
59	ឱ
60	(
61	ឲ
62	)
4,31	្គ
63	ៃ
51	ជ
64	ឺ
4,1	្ម
4,49	្ល
65	ឹ
66	៌
67	ឿ
68	+
4,69	្ញ
4,20	្ច
4,70	្ឋ
4,71	្ឈ
69	ញ
4,72	្ឆ
4,37	្ព
72	ឆ
73	ៅ
4,11	្ស
74	៣
75	២
76	០
56	ធ
77	|
78	]
79	៏
80	ៗ
4,81	្ឌ
4,58	្ហ
82	៘
83	ឃ
84	}
85	ឪ
86	=
87	>
70	ឋ
71	ឈ
81	ឌ
88	ឍ
89	&
4,36	្ភ
90	«
91	!
92	:
93	“
94	ឩ
95	”
96	ឫ
97	4
98	.
99	៧
100	1
4,33	្ណ
101	˜
