0	 
101	<nul>
1	គ
2	ឺ
3	ម
4	ុ
5	ន
6	ក
7	ា
8	រ
9	ប
10	់
11	ស
12,13	្ល
14	ខ
15	ែ
12,3	្ម
16	។
17	ជ
18	៊
19	ី
20	ណ
12,21	្ត
22	ោ
13	ល
12,8	្រ
23	ំ
24	េ
25	ច
21	ត
12,26	្ញ
27	ព
28	៌
26	ញ
29	ដ
30	ង
12,14	្ខ
31	ៅ
32	ធ
12,5	្ន
33	ះ
34	ថ
35	៍
36	ិ
37	ៀ
38	ផ
12,1	្គ
39	ើ
40	ហ
41	ួ
42	យ
12,43	្ឫ
12,29	្ដ
44	ឡ
45	័
46	=
47	ូ
48	ទ
12,30	្ង
49	ឹ
50	ឈ
51	ឤ
12,42	្យ
52	ឿ
12,25	្ច
53	ៃ
12,27	្ព
54	៉
55	|
56	ឬ
12,11	្ស
57	អ
58	វ
59	2
60	0
61	1
62	,
12,34	្ថ
63	}
64	7
65	)
12,9	្ប
12,58	្វ
12,6	្ក
12,66	្ភ
67	ៈ
12,68	្ឋ
12,48	្ទ
69	9
70	១
71	-
72	ៗ
73	៩
74	៥
12,57	្អ
75	ឲ
12,76	្ឆ
12,32	្ធ
77	ឧ
78	.
79	ឣ
12,17	្ជ
80	ឃ
81	&
12,40	្ហ
82	៏
66	ភ
12,80	្ឃ
83	/
84	8
85	ឯ
76	ឆ
86	២
87	០
88	៤
89	*
90	៣
91	[
92	]
93	¥
94	“
12,50	្ឈ
95	(
96	៨
97	៦
98	+
99	៎
100	!
